created_at,text_stopremoved,sentiment_pred,text_stemmed,topic
2025-10-11,menteri sdm bego malah cengar cengir kerja becus malah nyusahin rakyat loe,Negatif,menteri sdm bego malah cengar cengir kerja becus malah nyusahin rakyat loe,0.0
2025-10-11,jaman keterbukaan informasi bahlil kyak ngebohongin anaknya pikir sdm indonesia kyak bahlil menteri faktor jilatin keluarga fufufafa,Negatif,jaman buka informasi bahlil kyak ngebohongin anak pikir sdm indonesia kyak bahlil menteri faktor jilatin keluarga fufufafa,1.0
2025-10-10,bahlul mmg goblok bs menteri sdm,Negatif,bahlul mmg goblok bs menteri sdm,1.0
2025-10-09,menteri goblok hasil lobi parpol menjilat rezim kayak gini pemikirannya bukannya perbaiki kualitas mutu sdm via pendidikan tinggi vokasi malah nyalahin sdmnya,Negatif,menteri goblok hasil lobi parpol jilat rezim kayak gin pikir bukan baik kualitas mutu sdm via didik tinggi vokasi malah nyalahin sdmnya,0.0
2025-10-09,pecat pak ribut terus sdm rendah menteri esdm,Negatif,pecat pak ribut terus sdm rendah menteri esdm,0.0
2025-10-08,capek ngomong percuma protes bkl gubris telinga kanan keluar telinga kiri menghadapi manusia satu ibarat berhadapan tembok pak memilih mempertahankan mentrinya menteri rendah sdm,Negatif,capek ngomong percuma protes bkl gubris telinga kanan keluar telinga kiri hadap manusia satu ibarat hadap tembok pak pilih tahan tri menteri rendah sdm,0.0
2025-10-07,menteri sdm perhatian presiden karna pembuat kacau negara,Negatif,menteri sdm perhati presiden karna buat kacau negara,0.0
2025-10-04,the real menteri sdm rendah,Netral,the real menteri sdm rendah,0.0
2025-10-02,lagian bukanya perbaiki sdm kwalitas produk pertamina malah sokan menekan swasta menteri mencla mencle tau nyari investor susah malah betingkah rombak perlu,Negatif,lagi buka baik sdm kwalitas produk pertamina malah sok tekan swasta menteri mencla mencle tau nyari investor susah malah beting rombak perlu,0.0
2025-10-01,baru kali liat menteri serasa dpr jarangjarang menteri oposisi mudahmudahan kesalahan dibuat bapak persebaya dihujat sdm rendah dikonoha,Negatif,baru kali liat menteri serasa dpr jarangjarang menteri oposisi mudahmudahan salah buat bapak baya hujat sdm rendah dikonoha,0.0
2025-09-09,ngeles segala alasan kenal emang dasar menteri sdm rendah berkualitas cuma pesanan jokowi saatnya depak kabinet,Negatif,ngeles segala alas kenal emang dasar menteri sdm rendah kualitas cuma pesan jokowi saat depak kabinet,1.0
2025-09-09,menteri kasih tanggapan positif dibilang over confidence kasih tanggapan negatif dibilang gapantes menteri pesimis wkwkwkwk org punya n gaya beda gausah sok hebat langsung judge luar wtf sdm negara heran rata rata iq rendah,Negatif,menteri kasih tanggap positif bilang over confidence kasih tanggap negatif bilang gapantes menteri pesimis wkwkwkwk org punya n gaya beda gausah sok hebat langsung judge luar wtf sdm negara heran rata rata iq rendah,0.0
2025-09-09,miris liat sdm indo ganti menteri salah ganti salah ganti komen mentrinya ngomong dikit cap ngomong ntar blg bego gabisa jawab wkwkwkw emang dasar sdm indo bloon wkwkw emang jago gantiin coba maju menteri,Negatif,miris liat sdm indo ganti menteri salah ganti salah ganti komen tri ngomong dikit cap ngomong ntar blg bego gabisa jawab wkwkwkw emang dasar sdm indo bloon wkwkw emang jago gantiin coba maju menteri,0.0
2025-09-08,gajinya guede loh berarti menteri kudu tuh duakali lipatya apa sihjual skill negara masa cukup,Negatif,gaji guede loh arti menteri kudu tuh duakali lipatya apa sihjual skill negara masa cukup,0.0
2025-09-08,ganti menteri klhk becus kerja mengatasi masalah polusi udara jakarta pdhal kota lecil parahh sdm bermutu,Negatif,ganti menteri klhk becus kerja atas masalah polusi udara jakarta pdhal kota lecil parahh sdm mutu,0.0
2025-09-07,sdm rendah suka nelen hoaks menteri mantan anak abah ikutan main dah kasih penjelasan,Negatif,sdm rendah suka nelen hoaks menteri mantan anak abah ikut main dah kasih jelas,0.0
2025-09-07,sdm standar psi menteri kerja main gaplek entah kapan istrahatnya,Netral,sdm standar psi menteri kerja main gaplek entah kapan istrahatnya,0.0
2025-09-07,gmana org macam menteri abis pikir kaya indo kekurangan sdm,Negatif,gmana org macam menteri abis pikir kaya indo kurang sdm,1.0
2025-09-05,keeho gaji dpr plg tinggi se asia sdm rendah umr rendah bahlil menteri,Negatif,keeho gaji dpr plg tinggi se asia sdm rendah umr rendah bahlil menteri,1.0
2025-09-03,jepang bomb atom luluh lantak kaisar hirohito malah nanya berapa jumlah guru tersisa nanya menteri agama exist ngga sadar guru pencetak sdm bangsa padahal sisi agama malah diperhatiin pak preeetlah,Negatif,jepang bomb atom luluh lantak kaisar hirohito malah nanya berapa jumlah guru sisa nanya menteri agama exist ngga sadar guru cetak sdm bangsa padahal sisi agama malah diperhatiin pak preeetlah,0.0
2025-09-03,sekelas menteri ngomong tuh dilihat efek jangka panjang omongannya menyakiti hati guru calon guru apa imbasnya pendidikan satu negara ntar penurunan kualitas sdm pemerintah kabur,Negatif,kelas menteri ngomong tuh lihat efek jangka panjang omong sakit hati guru calon guru apa imbas didik satu negara ntar turun kualitas sdm perintah kabur,0.0
2025-09-03,indonesia krisis sdm ampe menteri macam ginj,Negatif,indonesia krisis sdm ampe menteri macam ginj,0.0
2025-09-03,gitu gimana indo punya kualitas sdm tinggi mindset menteri gini,Negatif,gitu gimana indo punya kualitas sdm tinggi mindset menteri gin,1.0
2025-08-31,presiden bersihkan kabinet bapak sesimple mgkn jgn byk mentriwamen boros duit negara sj stop kursi politik byk sdm mampu krj tegas terjun lsg lapangan jgn percaya laporan pembantu sewa detektif nd ears thx,Negatif,presiden sih kabinet bapak sesimple mgkn jgn byk mentriwamen boros duit negara sj stop kursi politik byk sdm mampu krj tegas terjun lsg lapang jgn percaya lapor bantu sewa detektif nd ears thx,0.0
2025-08-28,dri nama mu dah ketebak sdm mu jdi menteri perasaan ibu susi derajatnya sdh tinggi jokowi nyerut kayu solo ibu susi terbang sana sni masa ukuran derajat org jdi menteri sejak kapan menteri ukuran derajat bro,Negatif,dri nama mu dah tebak sdm mu jdi menteri asa ibu sus derajat sdh tinggi jokowi nyerut kayu solo ibu sus terbang sana sni masa ukur derajat org jdi menteri sejak kapan menteri ukur derajat bro,0.0
2025-08-26,apa bedanya apa tujuanya dibuat kementrian sendiri spt wong dipakai sdm ambil kementrian lama wajah lama ditempat baru nambah menteri wamen brp biaya keluar,Negatif,apa beda apa tujuanya buat tri sendiri spt wong pakai sdm ambil tri lama wajah lama tempat baru nambah menteri wamen brp biaya keluar,1.0
2025-08-22,sekian banyaknya sdm negara ipk beragam tetep penjilat lah menteri wamen,Negatif,sekian banyak sdm negara ipk agam tetep jilat lah menteri wamen,0.0
2025-08-21,terbiasa makan makanan hewan mbg konntolll dibanggain dasar presiden tertolol milih menteri sdm rendah,Negatif,biasa makan makan hewan mbg konntolll dibanggain dasar presiden tolol milih menteri sdm rendah,0.0
2025-08-20,sdm menteri perform fokus permasalahan rakyat tangan persiden tepat,Netral,sdm menteri perform fokus masalah rakyat tangan persiden tepat,0.0
2025-08-18,sekelas menteri pemikirannya kesitu skala kasih rating kualitas sdm kabinet nyerah,Negatif,kelas menteri pikir kesitu skala kasih rating kualitas sdm kabinet nyerah,1.0
2025-08-16,lho sdm belajar bs jepang nyampe setahun terus kesana mulai membentuk kelompok,Negatif,lho sdm ajar bs jepang nyampe tahun terus kesana mulai bentuk kelompok,0.0
2025-08-15,beda blok jaman moh hatta wapres indonesia punya apa negara kere baru merdeka punya duit sdm rendah pintar sekolah cuma segelintir skrg kan sdh negara berkembang duitnya merintis susah sulit drpd cuma nerusin menteri oon,Negatif,beda blok jaman moh hatta wapres indonesia punya apa negara kere baru merdeka punya duit sdm rendah pintar sekolah cuma gelintir skrg kan sdh negara kembang duit rintis susah sulit drpd cuma nerusin menteri oon,1.0
2025-08-13,menteri ngomong asal mangappikiran sehat nggk dipakai sdm setingkat menteri cukup rendah,Negatif,menteri ngomong asal mangappikiran sehat nggk pakai sdm tingkat menteri cukup rendah,0.0
2025-08-13,menteri pppa sebut kesehatan pondasi wujudkan sdm berkualitas,Netral,menteri pppa sebut sehat pondasi wujud sdm kualitas,0.0
2025-08-10,kocak emang kabinet indonesia baru menteri keuangan ngerti uang menteri esdm sdm rendah menteri ham perang pemberontak ditanah kelahiran,Negatif,kocak emang kabinet indonesia baru menteri uang ngerti uang menteri esdm sdm rendah menteri ham perang berontak tanah lahir,1.0
2025-07-19,bahlil takut kampus pabrik pembuat pengangguran bahlil sbg menteri mundur bnyak anak bngsa cerdas punya visi memberdayakan sdm memajukan pendidikan tinggi jgn lg kampus abangan penjual ijazah terselubung keren pejabat,Negatif,bahlil takut kampus pabrik buat anggur bahlil sbg menteri mundur bnyak anak bngsa cerdas punya visi daya sdm maju didik tinggi jgn lg kampus abangan jual ijazah selubung keren jabat,1.0
2025-07-15,kata menteri sdm rendah,Negatif,kata menteri sdm rendah,0.0
2025-07-13,kena efisiensi bidang pendidikan bgimana menghasilkan sdm kompeten njing kurikulum ubah tiap ganti menteri tolol dibanyakin dana malah onoh blog,Negatif,kena efisiensi bidang didik bgimana hasil sdm kompeten njing kurikulum ubah tiap ganti menteri tolol dibanyakin dana malah onoh blog,0.0
2025-07-08,negara religius menurunkan sdm warganyasaya menemukan menteri agama negara sekelas arab saudi indonesia menteri agama timor leste katolik menteri agama karna urusan iman hak preogratif,Negatif,negara religius turun sdm warganyasaya temu menteri agama negara kelas arab saudi indonesia menteri agama timor leste katolik menteri agama karna urus iman hak preogratif,0.0
2025-07-06,menteri sdm gantiin bahlil wkwkk,Netral,menteri sdm gantiin bahlil wkwkk,0.0
2025-07-04,knp menteri mengundurkan diri cuma utang utang iyang utang tanyakan jokowi ribu triliun mana klu uang bayar utang sdm mana mana nikel emas batubara komoditi lainya hasil laut pajak miskin negara,Negatif,knp menteri undur diri cuma utang utang iyang utang tanya jokowi ribu triliun mana klu uang bayar utang sdm mana mana nikel emas batubara komoditi lai hasil laut pajak miskin negara,0.0
2025-07-02,sdm rendah termasuk menteri menteri,Negatif,sdm rendah masuk menteri menteri,0.0
2025-07-01,lh pakta bantah menteri dungu pernah mengata kan negara sdm rendah lalu kalian korupsi apa mempunyai q baik logika sda negara korupsi indonesia menjadi negara terkuat no dunia,Negatif,lh pakta bantah menteri dungu pernah kata kan negara sdm rendah lalu kalian korupsi apa punya q baik logika sda negara korupsi indonesia jadi negara kuat no dunia,0.0
2025-06-28,menteri sdm punya otak,Negatif,menteri sdm punya otak,
2025-06-26,menteri esdm pemikirannya makanya sdm sini banyak radarada,Negatif,menteri esdm pikir makanya sdm sini banyak radarada,1.0
2025-06-25,inilah contoh menteri sdm rendah junjunan otak cm cuan merusak negri,Negatif,ini contoh menteri sdm rendah junjunan otak cm cuan rusak negri,0.0
2025-06-25,kebanyakan aneh aneh menteri rampok pulau jual pulau entah kurang sdm kebanyakan mabuknya,Negatif,banyak aneh aneh menteri rampok pulau jual pulau entah kurang sdm banyak mabuk,0.0
2025-06-25,pak punya menteri gini pak ngawur lo pak izin pak resufle pak banyak sdm baik,Negatif,pak punya menteri gin pak ngawur lo pak izin pak resufle pak banyak sdm baik,0.0
2025-06-25,menteri esdm begini pantesan sdm sini banyak anjlok,Negatif,menteri esdm begini pantesan sdm sini banyak anjlok,1.0
2025-06-24,menteri kesehatan diam klhk gubernur presiden sewakti debat sibuk menjanjikan perbaikan masalah polusi udara serang anis sbg sdm omon berbuat apa unt membaikkan keburukan rugi bayar pajak bernegara ri yaa dok,Negatif,menteri sehat diam klhk gubernur presiden sewakti debat sibuk janji baik masalah polusi udara serang anis sbg sdm omon buat apa unt baik keburu rugi bayar pajak negara ri yaa dok,0.0
2025-05-17,jawaban sangat sepantasnya dikatakan oelh sekelas menteri apa mmg kemunduran kualitas sdm menteri ah salah,Negatif,jawab sangat pantas kata oelh kelas menteri apa mmg mundur kualitas sdm menteri ah salah,0.0
2025-05-11,tujuan ujicoba emang negara miskin sdm rendah gampang dikibulin kasih duit dikit girang padahal efeknya bahaya suruh tuh menteri tes vaksin sendiri,Negatif,tuju ujicoba emang negara miskin sdm rendah gampang dikibulin kasih duit dikit girang padahal efek bahaya suruh tuh menteri tes vaksin sendiri,0.0
2025-05-05,hitler berpendapat perempuan fokus urusan domestik angkatan kerja jerman termasuk intelejen militer jarang perempuan akibatnya tak punya sdm unt menang perang dunia sekutu termasuk uni soviet soviet perempuan menteri,Netral,hitler dapat perempuan fokus urus domestik angkat kerja jerman masuk intelejen militer jarang perempuan akibat tak punya sdm unt menang perang dunia sekutu masuk uni soviet soviet perempuan menteri,0.0
2025-05-03,menteri terbaru sekarang napak tanah pendidikan akar segalanya sdm bagus negara keurus,Positif,menteri baru sekarang napak tanah didik akar segala sdm bagus negara urus,1.0
2025-04-24,makanya bilang kalian smua tolol sdm rendah mknya indonesia jdi negara berkembang mulai sdm manusia goblok sdm teknologi goblok jokowi mengundang paus indonesia wakil menteri keuangan ignasius jonan menteri ham kan utusan negara,Negatif,makanya bilang kalian smua tolol sdm rendah mknya indonesia jdi negara kembang mulai sdm manusia goblok sdm teknologi goblok jokowi undang paus indonesia wakil menteri uang ignasius jonan menteri ham kan utus negara,0.0
2025-04-24,kaya gini menteri pak apa sdm mumpuni,Negatif,kaya gin menteri pak apa sdm mumpuni,1.0
2025-04-24,mutus diputus sdm ngejar banyakn ormas ganguin upah mahal lupa saingan vietnam bentar lg sentra industri dunia disamping china heran menteri segitu banyak smua bs serempak slesai musti satu satu,Negatif,mutus putus sdm ngejar banyakn ormas ganguin upah mahal lupa saing vietnam bentar lg sentra industri dunia samping china heran menteri segitu banyak smua bs serempak slesai musti satu satu,0.0
2025-04-23,mendikbud era jkw benarx merusak kurikulum ind emaskharakter bangsa dasar keilmuan sdm dihancurkan lost generation persiapan memunculkan pemimpin tak berkapasitas pemilub semoga menteri pendidikan sekarang mampu mengatasi mencegah lost generation,Negatif,mendikbud era jkw benarx rusak kurikulum ind emaskharakter bangsa dasar ilmu sdm hancur lost generation siap muncul pimpin tak kapasitas pemilub moga menteri didik sekarang mampu atas cegah lost generation,0.0
2025-04-21,menteri perusak anak bangsa perusak sdm sepertinya menteri titipan proksi bangsa indonesia tertinggal penguasaan iptek lemah etos kerjanya pak samsul sd main ai,Negatif,menteri usak anak bangsa usak sdm seperti menteri titip proksi bangsa indonesia tinggal kuasa iptek lemah etos kerja pak samsul sd main ai,0.0
2025-04-21,ganti menteri ganti kurikulum janji jokowi periode kedua benahi sdm berjalan,Netral,ganti menteri ganti kurikulum janji jokowi periode dua benah sdm jalan,0.0
2025-04-19,citacitanya semoga menteri sdm,Netral,citacitanya moga menteri sdm,0.0
2025-04-18,wakil menteri leveeeeel receeeeh level jalanan wakil menteri hrs policy peraturan memastikan oer aturan jalankan kepentingan rakyat banyak cari panggung giniemang lucu lucu sdm rendah,Negatif,wakil menteri leveeeeel receeeeh level jalan wakil menteri hrs policy atur pasti oer atur jalan penting rakyat banyak cari panggung giniemang lucu lucu sdm rendah,1.0
2025-04-15,ganti menteri pendidikan nasional ganti kurikulum ganti jurusan anak didik dijadikan objek objek uji coba makin pinter makin kblinger bisanya textbook hafalan dibanding praktik mendapat pekerjaan bingung ngerjain apa diterapkan waktu kuliah jadilah sdm lemah,Negatif,ganti menteri didik nasional ganti kurikulum ganti jurus anak didik jadi objek objek uji coba makin pinter makin kblinger bisa textbook hafal banding praktik dapat kerja bingung ngerjain apa terap waktu kuliah jadi sdm lemah,0.0
2025-04-15,sistem merdeka kyk lalu emang menurutku siap diterapkan sdm sini lihat banyak bukannya inisiatif belajar malah nyepelein banyak semakin gatau apaapa keseluruhan bs gasi sistem pendidikan tuh jangan tiap menteri ganti trus ganti,Negatif,sistem merdeka kyk lalu emang turut siap terap sdm sini lihat banyak bukan inisiatif ajar malah nyepelein banyak makin gatau apaapa seluruh bs gas sistem didik tuh jangan tiap menteri ganti trus ganti,0.0
2025-04-12,pak kholid cocok menteri sdm yaa,Netral,pak kholid cocok menteri sdm yaa,0.0
2025-04-08,hai kata ndazmu g dkatakan sekelas presiden makanya sdm kau rendah g melihat realitautang utang mlulu menteri kau masalah lainjangan geram tambah geram pernyataan adu dombadasar ndasmu,Negatif,hai kata ndazmu g dkatakan kelas presiden makanya sdm kau rendah g lihat realitautang utang mlulu menteri kau masalah lainjangan geram tambah geram nyata adu dombadasar ndasmu,0.0
2025-04-06,ad beberapa kilang minyak raksasa dlm negri sdm jga memadai bahkan banyak warga menemukan bbm jnis baru knp tdak menggandeng org sprti bsa memproduksi bbm sendiri harga bsa murah pencerahan pak menteri,Negatif,ad beberapa kilang minyak raksasa dlm negri sdm jga pada bahkan banyak warga temu bbm jnis baru knp tdak gandeng org sprti bsa produksi bbm sendiri harga bsa murah cerah pak menteri,1.0
2025-04-03,pintar sdm rendah org ko jdi menteri tujuanya apa elektronik sertifikat niru negara mana tuh,Negatif,pintar sdm rendah org ko jdi menteri tujuanya apa elektronik sertifikat niru negara mana tuh,0.0
2025-04-02,pemerintahan terpilih gubernurmentripresident bebas mengangkat memecat anggota polri polri mengekor pejabat bila diberi otonomi rawan sdm polri sekarang,Negatif,perintah pilih gubernurmentripresident bebas angkat pecat anggota polri polri ekor jabat bila beri otonomi rawan sdm polri sekarang,0.0
2025-04-02,puluhan menteri ratusan staff khusus dikasih wewenang kelola bumn jual bbm listrik mahal rakyat sdm rendah bisnis luar negeri dapet uang pajak sita aset warga menyedihkan,Negatif,puluh menteri ratus staff khusus kasih wewenang kelola bumn jual bbm listrik mahal rakyat sdm rendah bisnis luar negeri dapet uang pajak sita aset warga sedih,1.0
2025-03-27,seluruh stafnya tempo sangat sedih menteri ri bilang masak kepala babi ucapan dinilai kasarnya biadab bener tercela sdm menteri ustad felix nyangka menteri muslim bs ngomong sprti rugi gaji lohh,Negatif,seluruh staf tempo sangat sedih menteri ri bilang masak kepala babi ucap nilai kasar biadab bener cela sdm menteri ustad felix nyangka menteri muslim bs ngomong sprti rugi gaji lohh,0.0
2025-03-26,klw berargumen emang kerjaan pemerintah yah kebijakan publik kerjaan pemerintah dilihat keseluruhan fokus dianggap salah giliran dianggap salah kayak gas lpg menteri sdm kritik,Negatif,klw argumen emang kerja perintah yah bijak publik kerja perintah lihat seluruh fokus anggap salah gilir anggap salah kayak gas lpg menteri sdm kritik,0.0
2025-03-25,kasihan mengangkatnya sdm jadikan menteri tinggal tunggu kehancurannya,Negatif,kasihan angkat sdm jadi menteri tinggal tunggu hancur,0.0
2025-03-24,menteri titipan bgtu sdm rendah,Negatif,menteri titip bgtu sdm rendah,0.0
2025-03-22,nah keren mental bertanggung jawabnya heavypantang drops berkompetisi arus basah iya coba hitung berapa indonesia punya pergantian menteri keuanganpaling bertahan buk sri,Positif,nah keren mental tanggung jawab heavypantang drops kompetisi arus basah iya coba hitung berapa indonesia punya ganti menteri keuanganpaling tahan buk sri,1.0
2025-03-21,kapn menteri pendidikan banyak menghabiskan uang negara dibubarkan menghasilkan sdm cuman segitu guru sekolah negri amberadul sdgkn swasta mlh unggulkan niat busuk dri oknum anggota muhammadiyah menjajah nkri,Negatif,kapn menteri didik banyak habis uang negara bubar hasil sdm cuman segitu guru sekolah negri amberadul sdgkn swasta mlh unggul niat busuk dri oknum anggota muhammadiyah jajah nkri,0.0
2025-03-21,sdm tiarap gini bisaa wakil menteri wkwkwk negara kontol,Netral,sdm tiarap gin bisaa wakil menteri wkwkwk negara kontol,0.0
2025-03-18,jangankan tni polri omgan bapak mon maaf mek org g sekolah bilang ndasmu dllnya g etis yaallah seorang presiden ngmng macem tu menteri mu cerminan dirimu bahlil dllnya siapa kaya kurang sdm cakap negeri heran heran,Negatif,jangan tni polri omgan bapak mon maaf mek org g sekolah bilang ndasmu dllnya g etis yaallah orang presiden ngmng macem tu menteri mu cermin diri bahlil dllnya siapa kaya kurang sdm cakap negeri heran heran,0.0
2025-03-15,tuh menteri emg sekolahnya pinter napak tanah kek gatau problem utama pendidikan negara sekedar sdm males sistemnya acak adut mknya outputnya selalu acumalaka,Negatif,tuh menteri emg sekolah pinter napak tanah kek gatau problem utama didik negara dar sdm males sistem acak adut mknya outputnya selalu acumalaka,0.0
2025-03-13,memang sakit menteri rezim menteri diangkat mental bacakkan garong asbun tukang begal berita heran bnyak pribadi berkompeten diluar sana malah diangkat menteri rusak lacur sdm dibawah rata miriiss memang otak dengkul,Negatif,memang sakit menteri rezim menteri angkat mental bacak garong asbun tukang begal berita heran bnyak pribadi kompeten luar sana malah angkat menteri rusak lacur sdm bawah rata miriiss memang otak dengkul,0.0
2025-03-12,lihat dulu konteksnya jangan ngeledekin kayak sdm rendahan gw yakin pak bowo gini diluar sana dipercaya menteri contoh bahlil contoh antek mulyono paham mencoba melakukan terbebas rezim,Negatif,lihat dulu konteks jangan ngeledekin kayak sdm rendah gw yakin pak bowo gin luar sana percaya menteri contoh bahlil contoh antek mulyono paham coba laku bebas rezim,1.0
2025-03-06,heran menteri hasil give awaykualitas sdm ttg kehutanan merabaskrg berusaha mementingkan golongan sendiriminus prestasi mental pecundang impian korupsicwuihh,Negatif,heran menteri hasil give awaykualitas sdm ttg hutan merabaskrg usaha penting golong sendiriminus prestasi mental cundang impi korupsicwuihh,0.0
2025-03-06,klu konoha ttp menteri dong jgn samain negra maju negra mafia sdm etika sangat jauh berbeda,Negatif,klu konoha ttp menteri dong jgn samain negra maju negra mafia sdm etika sangat jauh beda,0.0
2025-03-05,otak isi tai cok menteri sdm rendah kena community gwoblooog jul jul,Negatif,otak isi tai cok menteri sdm rendah kena community gwoblooog jul jul,0.0
2025-03-05,kerjaan loo kerjain sesuai tupoksi lo kerjaan lo berantakan malah ngurusin apa kurang kerjaan lo amit sdm begini jdi menteri bahasa sekelas buzzer malumaluin lo,Negatif,kerja loo kerjain sesuai tupoksi lo kerja lo beranta malah ngurusin apa kurang kerja lo amit sdm begini jdi menteri bahasa kelas buzzer malumaluin lo,1.0
2025-03-03,milih menteri sdm spt gemana pak,Negatif,milih menteri sdm spt gana pak,0.0
2025-03-02,maklumin bani sdm low quality bang sesuai pa menteri pernah sampaikan,Negatif,maklumin bani sdm low quality bang sesuai pa menteri pernah sampai,0.0
2025-03-01,pejabat percaya omongannya presiden wakil presiden menteri keuangan menteri sdm menteri kkp menteri bumn menteri tenaga kerja kapolri anggota dpr menteri hukum menteri atr,Netral,jabat percaya omong presiden wakil presiden menteri uang menteri sdm menteri kkp menteri bumn menteri tenaga kerja kapolri anggota dpr menteri hukum menteri atr,0.0
2025-02-28,solusinya begini seorang menteri pantes dah negri dipimpin fufufafa sdm rendah,Negatif,solusi begini orang menteri pantes dah negri pimpin fufufafa sdm rendah,1.0
2025-02-27,menteri sdm g pnya sdm,Netral,menteri sdm g pnya sdm,0.0
2025-02-27,menteri sdm kan bilang blending biasa pertamina menjaminlah oplosan cuma campur doang blending artinya mencampur alah puciiiing,Positif,menteri sdm kan bilang blending biasa pertamina jamin oplos cuma campur doang blending arti campur alah puciiiing,1.0
2025-02-20,logika sesat seorang pemimpin memikirkan kepentingan sesaat tak memikirkan kelangsungan sdm dikemudian hari soal perut mempertaruhkan nasib bangsa begundal jokowi ternyata menteri president setingan,Negatif,logika sesat orang pimpin pikir penting saat tak pikir langsung sdm kemudi hari soal perut taruh nasib bangsa begundal jokowi nyata menteri president ting,1.0
2025-02-20,paling wadidaw komen menteri capture wamen paling jujur nunjukin bobroknya kualitas sdm pejabat malu lah pak baca wna sono apa kasian jadinya wni kek,Negatif,paling wadidaw komen menteri capture wamen paling jujur nunjukin bobrok kualitas sdm jabat malu lah pak baca wna sono apa kasi jadi wni kek,0.0
2025-02-19,menteri indonesia pemikirannya mewakili sdm rendah heran rakyat pemikirannya banyak rendah,Negatif,menteri indonesia pikir wakil sdm rendah heran rakyat pikir banyak rendah,1.0
2025-02-18,pikir tanam cabecabean ngentot ah sdm selevel menteri ky gini bahan bakunya heran,Negatif,pikir tanam cabecabean ngentot ah sdm level menteri ky gin bahan baku heran,0.0
2025-02-18,heran tukang berantem tv berita nasional statement sesuai isinya kali usah ditanya biar redup ilang ditelan jabatan giveaway seharinya gmn kerjanya wamen belagu menteri cerdas sdm tinggi pak menteri jangan terkontaminasi virus,Negatif,heran tukang antem tv berita nasional statement sesuai isi kali usah tanya biar redup ilang tel jabat giveaway hari gmn kerja wamen belagu menteri cerdas sdm tinggi pak menteri jangan kontaminasi virus,0.0
2025-02-18,apple to apple bandinginnya kualitas sdm menteri disana kredibel disini gimana kumpulan bangt,Negatif,apple to apple bandinginnya kualitas sdm menteri sana kredibel sini gimana kumpul bangt,1.0
2025-02-18,omongan menteri sdm rendah begini kritis malah menyudutkan rakyat sendiri dasar penjilat,Negatif,omong menteri sdm rendah begini kritis malah sudut rakyat sendiri dasar jilat,1.0
2025-02-17,presiden aneh menteri aneh stafsus aneh dagunya anomali partai aneh sdm aneh dahlah bubar indo,Negatif,presiden aneh menteri aneh stafsus aneh dagu anomali partai aneh sdm aneh dah bubar indo,0.0
2025-02-16,masalah polusi udara sprti simplenya lalu menteri klhk dinas lh jakarta kaga tau sdm sekolah kaga sekolah bs nanya meta whatsapp ndas muu kacauu pecat unt efisiensi tak negara inii kampret,Negatif,masalah polusi udara sprti simplenya lalu menteri klhk dinas lh jakarta kaga tau sdm sekolah kaga sekolah bs nanya meta whatsapp ndas muu kacauu pecat unt efisiensi tak negara ini kampret,0.0
